zipcode,Population ,Population_density_per_sq_mile,Median_Household_Income,Land_Area_sq_mile
98178,24092,4966,58707,4.85
98125,37081,6879,53044,5.39
98028,20419,3606,82448,5.66
98136,14770,6425,84344,2.3
98074,24748,2411,143686,10.68
98053,18784,662,116518,28.37
98003,44151,3800,45894,11.62
98198,34584,4441,56364,7.79
98146,25922,5573,56809,4.65
98038,31171,469,95043,66.49
98007,24889,5684,73162,4.38
98115,46206,7018,84159,6.58
98107,21147,9602,67566,2.2
98126,20698,6732,66408,3.07
98019,10725,141,95025,76.33
98103,45911,9905,75763,4.64
98002,31647,4423,43568,7.15
98133,44555,6279,51499,7.1
98040,22699,3591,126359,6.32
98092,39816,892,70877,44.63
98030,33769,4741,51446,7.12
98119,21039,8638,68383,2.44
98112,21077,6667,96054,3.16
98052,58442,2908,99192,20.1
98027,26141,469,100644,55.79
98117,31365,7953,86986,3.94
98058,41938,2215,77780,18.93
98001,31911,1717,71746,18.59
98056,32489,4323,70683,7.52
98166,20301,3580,63320,5.67
98023,47510,4604,67906,10.32
98070,10624,288,72774,36.92
98148,10010,3194,45424,3.13
98105,43924,10643,45560,4.13
98042,43673,1537,87342,28.41
98008,24411,4437,92986,5.5
98059,34463,1725,91465,19.98
98122,31454,13594,53570,2.31
98144,26881,7895,55950,3.4
98004,27946,3977,93521,7.03
98005,17714,2361,84774,7.5
98034,40407,4428,77688,9.13
98075,20715,2185,142926,9.48
98116,22241,7523,74274,2.96
98010,5025,334,85398,15.05
98118,42731,6841,52276,6.25
98199,19686,4714,82882,4.18
98032,33853,2024,48853,16.72
98045,13888,41,88906,336.99
98102,20756,15829,65054,1.31
98077,13585,785,137125,17.31
98108,22374,2989,52232,7.48
98168,33734,3794,49233,8.89
98177,19030,3341,95648,5.7
98065,12699,171,121415,77.09
98029,24348,2719,99974,8.95
98006,36364,3402,110290,10.69
98109,20715,10361,77034,2
98022,20987,52,66295,405.93
98033,34338,3696,103250,9.29
98155,32778,4330,72281,7.57
98024,5650,236,93777,23.92
98011,29212,3569,71720,8.19
98031,36581,4877,63709,7.5
98106,22873,4161,57875,5.5
98072,22312,1231,107654,18.13
98188,23111,3062,40815,7.55
98014,6765,149,95394,45.31
98055,21904,4585,66461,4.78
98039,2971,2059,183833,1.44
